Probe Set;Sequencing Configuration;Sample ID at Source;Slide Area;uid;Dataset Url;Instrument(s);Chemistry Details;Number of Genes Targeted;Transcriptome;Pipeline Version;Number of Spots;Mean Reads per Spot;Median Genes per Spot;Genes Detected;Microscope;Objective;Numerical Aperture;Camera;Exposure;Gain
Visium Human Transcriptome Probe Set v2.0;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome;V53M06-039;A1;10tei;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;6,518;22,524;1,974;18,049;;;;;;
Visium Human Transcriptome Probe Set v2.0;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome;V53M06-039;A1;10jfe;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;6,352;31,135;3,016;18,057;;;;;;
Visium Human Transcriptome Probe Set v2.0;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome;V53M06-039;A1;10e5i;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;6,487;21,737;3,018;18,063;;;;;;
Visium Human Transcriptome Probe Set v2.0;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Human Whole Transcriptome;V53M06-039;A1;1065r;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-human-colon-cancer-ffpe-using-the-human-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;6,414;19,699;2,404;18,056;;;;;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome;V52Y23-098;A1;10caf;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;5,303;43,657;5,696;18,564;;;;;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome;V52Y23-098;A1;105k3;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;5,221;55,929;4,758;18,422;;;;;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome;V52Y23-098;A1;10ps4;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;5,254;42,778;6,451;16,998;;;;;;
Visium Mouse Transcriptome Probe Set;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read 2 (probe insert), 10 bp i7 sample index and 10 bp i5 sample index, Mouse Whole Transcriptome;V52Y23-098;A1;10ha9;https://www.10xgenomics.com/datasets/visium-cytassist-gene-expression-libraries-of-post-xenium-mouse-brain-ff-using-the-mouse-whole-transcriptome-probe-set-2-standard;Visium CytAssist|Illumina NovaSeq 6000;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;5,324;45,562;6,210;16,959;;;;;;
Visium Human Transcriptome Probe Set v2.0;28 bp read 1 (16 bp Visium spatial barcode, 12 bp UMI), 90 bp read2 (probe insert/antibody barcode), 10 bp i7 sample barcode and 10 bp i5 sample barcode;V43M23-019;D1;10jr4;https://www.10xgenomics.com/datasets/visium-cytassist-gene-and-protein-expression-library-of-human-tonsil-with-add-on-antibodies-h-e-6-5-mm-ffpe-2-standard;Visium CytAssist|Illumina NovaSeq;Visium V4 Slide - FFPE v2;18085;GRCh38-2020-A;spaceranger-2.1.0;4,908;75,598;8,114;18,066;Olympus Slide Scanning Microscope;20X UPLXAPO Objective;0.8;Hamamatsu Orca FusionBT sCMOS;;
Visium Mouse Transcriptome Probe Set;;V52B25-029;A;106s5;https://www.10xgenomics.com/datasets/preservation-method-comparison-on-visium-cytassist-fixed-frozen-mouse-brain-sagittal-11-mm-capture-area-2-standard;Visium CytAssist|Illumina NovaSeq 6;Visium V5 Slide - FFPE v2;19465;mm10-2020-A;spaceranger-2.1.0;5,134;140,919;8,181;19,160;Olympus VS200 Slide Scanning Microscope;20x UPLXAPO Objective;0.8;VS-264C;500 µs;
