uid;source;id
10aaa;10x;
10aac;10x;
10aad;10x;
10aae;10x;
10aaf;10x;
10aah;10x;
10aai;10x;
10aaj;10x;
10aak;10x;
10aam;10x;
10aan;10x;
10aap;10x;
10aar;10x;
10aas;10x;
10aat;10x;
10aau;10x;
10aav;10x;
10aaw;10x;
10aax;10x;
10aay;10x;
10aaz;10x;
10aa0;10x;
10aa1;10x;
10aa2;10x;
10aa3;10x;
10aa4;10x;
10aa5;10x;
10aa6;10x;
10aa7;10x;
10aa8;10x;
10aa9;10x;
10aca;10x;
10acc;10x;
10acd;10x;
10ace;10x;
10acf;10x;
10ach;10x;
10aci;10x;
10acj;10x;
10ack;10x;
10acm;10x;
10acn;10x;
10acp;10x;
10acr;10x;
10acs;10x;
10act;10x;
10acu;10x;
10acv;10x;
10acw;10x;
10acx;10x;
10acy;10x;
10acz;10x;
10ac0;10x;
10ac1;10x;
10ac2;10x;
10ac3;10x;
10ac4;10x;
10ac5;10x;
10ac6;10x;
10ac7;10x;
10ac8;10x;
10ac9;10x;
10ada;10x;
10adc;10x;
10add;10x;
10ade;10x;
10adf;10x;
10adh;10x;
10adi;10x;
10adj;10x;
10adk;10x;
10adm;10x;
10adn;10x;
10adp;10x;
10adr;10x;
10ads;10x;
10adt;10x;
10adu;10x;
10adv;10x;
10adw;10x;
10adx;10x;
10ady;10x;
10adz;10x;
10ad0;10x;
10ad1;10x;
10ad2;10x;
10ad3;10x;
10ad4;10x;
10ad5;10x;
10ad6;10x;
10ad7;10x;
10ad8;10x;
10ad9;10x;
10aea;10x;
10aec;10x;
10aed;10x;
10aee;10x;
10aef;10x;
10aeh;10x;
10aei;10x;
10aej;10x;
10aek;10x;
10aem;10x;
10aen;10x;
10aep;10x;
10aer;10x;
10aes;10x;
10aet;10x;
10aeu;10x;
10aev;10x;
10aew;10x;
10aex;10x;
10aey;10x;
10aez;10x;
10ae0;10x;
10ae1;10x;
10ae2;10x;10ae2__10X__Xenium__Human__skin__20240305__v1.9.0__Sample2
10ae3;10x;
10ae4;10x;
10ae5;10x;
10ae6;10x;
10ae7;10x;
10ae8;10x;
10ae9;10x;
10afa;10x;
10afc;10x;
10afd;10x;
10afe;10x;
10aff;10x;
10afh;10x;
10afi;10x;
10afj;10x;
10afk;10x;
10afm;10x;
10afn;10x;
10afp;10x;
10afr;10x;
10afs;10x;
10aft;10x;
10afu;10x;
10afv;10x;
10afw;10x;
10afx;10x;
10afy;10x;
10afz;10x;
